replicate_name	sample_name	read1	read2
1-2389_S1	1	1-2389_S1_R1_001.fastq.gz	1-2389_S1_R2_001.fastq.gz
1-2478_S1	1	1-2478_S1_R1_001.fastq.gz	1-2478_S1_R2_001.fastq.gz
1-A01-2537_S1	1	1-A01-2537_S1_R1_001.fastq.gz	1-A01-2537_S1_R2_001.fastq.gz
1-A01_S1	1	1-A01_S1_R1_001.fastq.gz	1-A01_S1_R2_001.fastq.gz
10-2068-2_S41	10	10-2068-2_S41_R1_001.fastq.gz	10-2068-2_S41_R2_001.fastq.gz
10-2068-3_S40	10	10-2068-3_S40_R1_001.fastq.gz	10-2068-3_S40_R2_001.fastq.gz
10-2068_S41	10	10-2068_S41_R1_001.fastq.gz	10-2068_S41_R2_001.fastq.gz
10-A06_S6	10	10-A06_S6_R1_001.fastq.gz	10-A06_S6_R2_001.fastq.gz
100-2068-2_S43	100	100-2068-2_S43_R1_001.fastq.gz	100-2068-2_S43_R2_001.fastq.gz
100-2068-3_S42	100	100-2068-3_S42_R1_001.fastq.gz	100-2068-3_S42_R2_001.fastq.gz
100-2068_S43	100	100-2068_S43_R1_001.fastq.gz	100-2068_S43_R2_001.fastq.gz
100-C06_S29	100	100-C06_S29_R1_001.fastq.gz	100-C06_S29_R2_001.fastq.gz
101-2389_S35	101	101-2389_S35_R1_001.fastq.gz	101-2389_S35_R2_001.fastq.gz
101-2478_S35	101	101-2478_S35_R1_001.fastq.gz	101-2478_S35_R2_001.fastq.gz
101-C11-2537_S35	101	101-C11-2537_S35_R1_001.fastq.gz	101-C11-2537_S35_R2_001.fastq.gz
101-C11_S35	101	101-C11_S35_R1_001.fastq.gz	101-C11_S35_R2_001.fastq.gz
102-2389_S36	102	102-2389_S36_R1_001.fastq.gz	102-2389_S36_R2_001.fastq.gz
102-2478_S36	102	102-2478_S36_R1_001.fastq.gz	102-2478_S36_R2_001.fastq.gz
102-C12-2537_S36	102	102-C12-2537_S36_R1_001.fastq.gz	102-C12-2537_S36_R2_001.fastq.gz
102-C12_S36	102	102-C12_S36_R1_001.fastq.gz	102-C12_S36_R2_001.fastq.gz
103-2389_S37	103	103-2389_S37_R1_001.fastq.gz	103-2389_S37_R2_001.fastq.gz
103-2478_S37	103	103-2478_S37_R1_001.fastq.gz	103-2478_S37_R2_001.fastq.gz
103-D01-2537_S37	103	103-D01-2537_S37_R1_001.fastq.gz	103-D01-2537_S37_R2_001.fastq.gz
103-D01_S37	103	103-D01_S37_R1_001.fastq.gz	103-D01_S37_R2_001.fastq.gz
106-2068-2_S51	106	106-2068-2_S51_R1_001.fastq.gz	106-2068-2_S51_R2_001.fastq.gz
106-2068-3_S50	106	106-2068-3_S50_R1_001.fastq.gz	106-2068-3_S50_R2_001.fastq.gz
106-2068_S51	106	106-2068_S51_R1_001.fastq.gz	106-2068_S51_R2_001.fastq.gz
106-C07_S30	106	106-C07_S30_R1_001.fastq.gz	106-C07_S30_R2_001.fastq.gz
107-2383_S21	107	107-2383_S21_R1_001.fastq.gz	107-2383_S21_R2_001.fastq.gz
107-2536_S21	107	107-2536_S21_R1_001.fastq.gz	107-2536_S21_R2_001.fastq.gz
107-2543_S20	107	107-2543_S20_R1_001.fastq.gz	107-2543_S20_R2_001.fastq.gz
107-2607_S20	107	107-2607_S20_R1_001.fastq.gz	107-2607_S20_R2_001.fastq.gz
108-2068-2_S59	108	108-2068-2_S59_R1_001.fastq.gz	108-2068-2_S59_R2_001.fastq.gz
108-2068-3_S58	108	108-2068-3_S58_R1_001.fastq.gz	108-2068-3_S58_R2_001.fastq.gz
108-2068_S59	108	108-2068_S59_R1_001.fastq.gz	108-2068_S59_R2_001.fastq.gz
108-C08_S31	108	108-C08_S31_R1_001.fastq.gz	108-C08_S31_R2_001.fastq.gz
109-2389_S38	109	109-2389_S38_R1_001.fastq.gz	109-2389_S38_R2_001.fastq.gz
109-2478_S38	109	109-2478_S38_R1_001.fastq.gz	109-2478_S38_R2_001.fastq.gz
109-D02-2537_S38	109	109-D02-2537_S38_R1_001.fastq.gz	109-D02-2537_S38_R2_001.fastq.gz
109-D02_S38	109	109-D02_S38_R1_001.fastq.gz	109-D02_S38_R2_001.fastq.gz
