replicate_name	sample_name	read1	read2
1	1	1_R1_001.fastq.gz	1_R2_001.fastq.gz
2	2	2_R1_001.fastq.gz	2_R2_001.fastq.gz
3	3	3_R1_001.fastq.gz	3_R2_001.fastq.gz
4	4	4_R1_001.fastq.gz	4_R2_001.fastq.gz
5	5	5_R1_001.fastq.gz	5_R2_001.fastq.gz
6	6	6_R1_001.fastq.gz	6_R2_001.fastq.gz
7	7	7_R1_001.fastq.gz	7_R2_001.fastq.gz
8	8	8_R1_001.fastq.gz	8_R2_001.fastq.gz
9	9	9_R1_001.fastq.gz	9_R2_001.fastq.gz
10	10	10_R1_001.fastq.gz	10_R2_001.fastq.gz
11	11	11_R1_001.fastq.gz	11_R2_001.fastq.gz
12	12	12_R1_001.fastq.gz	12_R2_001.fastq.gz
13	13	13_R1_001.fastq.gz	13_R2_001.fastq.gz
15	15	15_R1_001.fastq.gz	15_R2_001.fastq.gz
16	16	16_R1_001.fastq.gz	16_R2_001.fastq.gz
17	17	17_R1_001.fastq.gz	17_R2_001.fastq.gz
18	18	18_R1_001.fastq.gz	18_R2_001.fastq.gz
19	19	19_R1_001.fastq.gz	19_R2_001.fastq.gz
20	20	20_R1_001.fastq.gz	20_R2_001.fastq.gz
21	21	21_R1_001.fastq.gz	21_R2_001.fastq.gz
22	22	22_R1_001.fastq.gz	22_R2_001.fastq.gz
23	23	23_R1_001.fastq.gz	23_R2_001.fastq.gz
24	24	24_R1_001.fastq.gz	24_R2_001.fastq.gz
25	25	25_R1_001.fastq.gz	25_R2_001.fastq.gz
27	27	27_R1_001.fastq.gz	27_R2_001.fastq.gz
28	28	28_R1_001.fastq.gz	28_R2_001.fastq.gz
30	30	30_R1_001.fastq.gz	30_R2_001.fastq.gz
31	31	31_R1_001.fastq.gz	31_R2_001.fastq.gz
32	32	32_R1_001.fastq.gz	32_R2_001.fastq.gz
33	33	33_R1_001.fastq.gz	33_R2_001.fastq.gz
34	34	34_R1_001.fastq.gz	34_R2_001.fastq.gz
35	35	35_R1_001.fastq.gz	35_R2_001.fastq.gz
36	36	36_R1_001.fastq.gz	36_R2_001.fastq.gz
37	37	37_R1_001.fastq.gz	37_R2_001.fastq.gz
39	39	39_R1_001.fastq.gz	39_R2_001.fastq.gz
40	40	40_R1_001.fastq.gz	40_R2_001.fastq.gz
41	41	41_R1_001.fastq.gz	41_R2_001.fastq.gz
42	42	42_R1_001.fastq.gz	42_R2_001.fastq.gz
43	43	43_R1_001.fastq.gz	43_R2_001.fastq.gz
44	44	44_R1_001.fastq.gz	44_R2_001.fastq.gz
45	45	45_R1_001.fastq.gz	45_R2_001.fastq.gz
46	46	46_R1_001.fastq.gz	46_R2_001.fastq.gz
47	47	47_R1_001.fastq.gz	47_R2_001.fastq.gz
49	49	49_R1_001.fastq.gz	49_R2_001.fastq.gz
50	50	50_R1_001.fastq.gz	50_R2_001.fastq.gz
51	51	51_R1_001.fastq.gz	51_R2_001.fastq.gz
52	52	52_R1_001.fastq.gz	52_R2_001.fastq.gz
54	54	54_R1_001.fastq.gz	54_R2_001.fastq.gz
55	55	55_R1_001.fastq.gz	55_R2_001.fastq.gz
56	56	56_R1_001.fastq.gz	56_R2_001.fastq.gz
57	57	57_R1_001.fastq.gz	57_R2_001.fastq.gz
60	60	60_R1_001.fastq.gz	60_R2_001.fastq.gz
62	62	62_R1_001.fastq.gz	62_R2_001.fastq.gz
63	63	63_R1_001.fastq.gz	63_R2_001.fastq.gz
64	64	64_R1_001.fastq.gz	64_R2_001.fastq.gz
66	66	66_R1_001.fastq.gz	66_R2_001.fastq.gz
67	67	67_R1_001.fastq.gz	67_R2_001.fastq.gz
68	68	68_R1_001.fastq.gz	68_R2_001.fastq.gz
69	69	69_R1_001.fastq.gz	69_R2_001.fastq.gz
70	70	70_R1_001.fastq.gz	70_R2_001.fastq.gz
71	71	71_R1_001.fastq.gz	71_R2_001.fastq.gz
72	72	72_R1_001.fastq.gz	72_R2_001.fastq.gz
73	73	73_R1_001.fastq.gz	73_R2_001.fastq.gz
74	74	74_R1_001.fastq.gz	74_R2_001.fastq.gz
75	75	75_R1_001.fastq.gz	75_R2_001.fastq.gz
77	77	77_R1_001.fastq.gz	77_R2_001.fastq.gz
82	82	82_R1_001.fastq.gz	82_R2_001.fastq.gz
83	83	83_R1_001.fastq.gz	83_R2_001.fastq.gz
84	84	84_R1_001.fastq.gz	84_R2_001.fastq.gz
85	85	85_R1_001.fastq.gz	85_R2_001.fastq.gz
86	86	86_R1_001.fastq.gz	86_R2_001.fastq.gz
87	87	87_R1_001.fastq.gz	87_R2_001.fastq.gz
88	88	88_R1_001.fastq.gz	88_R2_001.fastq.gz
89	89	89_R1_001.fastq.gz	89_R2_001.fastq.gz
91	91	91_R1_001.fastq.gz	91_R2_001.fastq.gz
